Oil_Price,Imports,Production,GDP,SP500,Stock_value,Treasury_note, Y_n_1,Y_n_2,Y_n_3
-0.075906548,-0.054719907,2.377737027,1.83742864,-0.047750145,0.601122645,-1.233456616,-0.120382434,-0.009574861,0.077753402
-0.123410988,-0.061470002,2.029127968,1.840109899,-0.048406959,0.605782436,-1.311596563,-0.012424986,0.074697281,0.02133297
-0.015297435,-0.002008558,2.316359457,1.805253534,-0.075993138,0.690715532,-1.245478146,0.07197811,0.018189217,0.156350652
0.069227706,-0.050732835,2.047100978,1.756990875,-0.095040738,0.759715666,-1.317607328,0.015382236,0.153416608,0.124716074
0.012549995,-0.034157668,2.292170997,1.765034651,-0.089786227,0.803319138,-1.137284374,0.150819762,0.121732896,0.107431202
0.148183362,-0.119113199,1.538677158,1.748947098,-0.084531717,0.856402323,-1.173348965,0.119086815,0.104421177,-0.098356617
0.11640453,0.001482359,2.067068112,1.730178286,-0.090443041,0.860453619,-1.167338199,0.101748194,-0.101686272,0.036008805
0.099040838,-0.0554478,2.00299718,1.735540804,-0.079277207,0.860517671,-1.131273608,-0.104679532,0.032887847,-0.114010841
-0.107685381,-0.060332112,1.857607443,1.72213451,-0.106206572,0.860549697,-1.341650389,0.030103706,-0.11736481,-0.129012806
0.027292752,-0.078232342,2.01915735,1.663146815,-0.091756669,0.860597737,-1.570059465,-0.120382434,-0.132390075,-0.131295714
-0.123410988,-0.058781254,1.606917621,1.689959404,-0.049063773,0.860645776,-1.648199412,-0.135431048,-0.134676529,0.002743579
-0.138481362,-0.037185109,1.95925595,1.663146815,-0.02607529,0.860693815,-1.690274768,-0.137721054,-0.000429047,-0.064113002
-0.14077468,-0.029745744,1.931364117,1.62829045,-0.029359359,0.860741854,-1.726339359,-0.00326496,-0.06738947,-0.258486283
-0.006124164,-0.101596227,1.722887561,1.620246673,-0.065484117,0.860805906,-1.642188647,-0.070329435,-0.262064651,-0.362847776
-0.073285614,-0.045304832,2.073931005,1.598796603,-0.075993138,0.860869958,-1.540005639,-0.265307129,-0.366588238,-0.598639525
-0.268545243,-0.097014956,1.881200255,1.606840379,-0.065484117,0.860917997,-1.540005639,-0.369993139,-0.602746217,-0.55428589
-0.373382628,-0.037479237,2.294708973,1.585390308,-0.103579317,0.860998062,-1.491919518,-0.606518094,-0.558323693,-0.374588444
-0.610249595,-0.093604257,1.801279926,1.529083873,-0.193562805,0.861030088,-1.558037935,-0.562026539,-0.378347141,-0.20337037
-0.565693706,-0.074075923,2.336663261,1.542490167,-0.183053785,0.861062114,-1.371704215,-0.381770316,-0.206863131,-0.080093356
-0.385176834,-0.04763409,2.371055418,1.550533943,-0.080590834,0.861110153,-1.281542737,-0.21001983,-0.083394644,-0.104226951
-0.213177999,-0.118447696,2.192257636,1.537127649,-0.085188531,0.861174205,-1.269521207,-0.08635948,-0.107565724,-0.189346794
-0.089338838,-0.121296878,2.459470196,1.539808908,-0.150213096,0.861222245,-1.383725745,-0.11056812,-0.192817774,0.072535328
-0.113582484,-0.131199196,2.278160337,1.550533943,-0.231001191,0.861254271,-1.323618094,-0.195952647,0.069471102,0.36344299
-0.199090476,-0.06472621,2.491065401,1.518358837,-0.185024226,0.861286297,-1.323618094,0.06674381,0.360830601,0.345505858
0.063985837,-0.097561619,2.509556365,1.507633802,-0.168603881,0.861350349,-1.233456616,0.358556063,0.34286561,0.188311359
0.356220048,-0.122939837,2.209790385,1.491546249,-0.186994667,0.841446156,-1.209413555,0.340563155,0.185426957,-0.027912609
0.338201122,-0.108126468,2.530222737,1.462052401,-0.200130943,0.816690016,-1.305585798,0.182879852,-0.03113285,0.062099178
0.180289811,-0.133008531,2.440461278,1.44060233,-0.232971632,0.794303804,-1.467876457,-0.034016475,0.059018743,-0.047480389
-0.036920146,-0.076170473,2.637387456,1.408427224,-0.263185066,0.794351843,-1.401758041,0.056275209,-0.050731023,0.346158118
0.053502099,-0.184769162,1.877315599,1.427196036,-0.275664528,0.794399882,-1.443833397,-0.053645102,0.343518882,0.884272066
